# Mapeo FW NDS32 (633 funcs) -> modulo .c + lineas ASSERT

========== (sin ASSERT) (441 funcs) ==========
  0xf0020000  FUN_ram_f0020000        
  0xf0020010  FUN_ram_f0020010        
  0xf002003c  FUN_ram_f002003c        
  0xf0020068  FUN_ram_f0020068        
  0xf0020094  FUN_ram_f0020094        
  0xf00200b8  FUN_ram_f00200b8        
  0xf00200e0  FUN_ram_f00200e0        
  0xf00200fc  FUN_ram_f00200fc        
  0xf0020124  FUN_ram_f0020124        
  0xf00201d0  FUN_ram_f00201d0        
  0xf00201ec  FUN_ram_f00201ec        
  0xf0020218  FUN_ram_f0020218        
  0xf0020298  FUN_ram_f0020298        
  0xf0020480  FUN_ram_f0020480        
  0xf0020508  FUN_ram_f0020508        
  0xf00205c4  FUN_ram_f00205c4        
  0xf0020704  FUN_ram_f0020704        
  0xf0020710  FUN_ram_f0020710        
  0xf0020a78  FUN_ram_f0020a78        
  0xf0020b14  FUN_ram_f0020b14        
  0xf0020b28  FUN_ram_f0020b28        
  0xf0020c1c  FUN_ram_f0020c1c        
  0xf0020cb8  FUN_ram_f0020cb8        
  0xf0020cf4  FUN_ram_f0020cf4        
  0xf0020d4c  FUN_ram_f0020d4c        
  0xf0020d88  FUN_ram_f0020d88        
  0xf0020dc8  FUN_ram_f0020dc8        
  0xf0020ed0  FUN_ram_f0020ed0        
  0xf0020ef4  FUN_ram_f0020ef4        
  0xf0021088  FUN_ram_f0021088        
  0xf0021198  FUN_ram_f0021198        
  0xf0021344  FUN_ram_f0021344        
  0xf00213e0  FUN_ram_f00213e0        
  0xf002140c  FUN_ram_f002140c        
  0xf0021430  FUN_ram_f0021430        
  0xf00214f0  FUN_ram_f00214f0        
  0xf0021538  FUN_ram_f0021538        
  0xf0021984  FUN_ram_f0021984        
  0xf0021d30  FUN_ram_f0021d30        
  0xf0021e04  FUN_ram_f0021e04        
  0xf0022800  FUN_ram_f0022800        
  0xf00228c0  FUN_ram_f00228c0        
  0xf0023778  FUN_ram_f0023778        
  0xf0023798  FUN_ram_f0023798        
